customer_id,first_name,email,loyalty_status,total_loyalty_points,segment_id,historic_annual_spend
CUST0045,Rachel,jonathanfletcher@example.org,Bronze,461,MS,243.86
CUST0046,April,michaeljones@example.net,Silver,3736,HS,2515.96
CUST0047,Samantha,elizabeth14@example.net,Bronze,332,HS,181.84
CUST0048,Kyle,snguyen@example.com,Bronze,264,LS,340.34
CUST0049,Angela,robertbentley@example.net,Silver,2131,LS,3223.16
CUST0050,Kaitlin,christinaturner@example.net,Gold,5701,MS,7413.56
CUST0051,Martha,justin69@example.net,Bronze,776,MS,240.32
CUST0052,Diana,rramos@example.org,Silver,3010,HS,2792.7
CUST0053,William,donnacampbell@example.net,Bronze,226,HS,404.4
CUST0054,Cynthia,clarence34@example.org,Bronze,595,LS,369.02
CUST0055,Lindsay,andrewsanchez@example.com,Silver,2742,LS,4986.53
CUST0056,Cheryl,gibsonolivia@example.net,Bronze,719,MS,453.75
CUST0057,James,psnyder@example.org,Bronze,123,MS,721.28
CUST0058,Diana,staffordmichelle@example.org,Bronze,548,LS,950.88
CUST0059,Kimberly,gregoryrubio@example.net,Bronze,221,MS,738.6
CUST0060,Steven,samanthamartinez@example.org,Silver,5000,LS,4040.83
CUST0061,Laurie,stephanie79@example.net,Bronze,102,MS,832.63
CUST0062,Patricia,jrivas@example.com,Bronze,183,LS,302.27
CUST0063,Phyllis,wcole@example.org,Silver,2123,HS,1182.06
CUST0064,Mary,katie87@example.net,Silver,3856,LS,4776.36
CUST0065,John,sjones@example.org,Gold,9021,HS,6025.88
CUST0066,Joseph,patricia12@example.org,Silver,2922,MS,2914.86
CUST0067,Jesse,jasminebrown@example.com,Bronze,52,MS,252.48
CUST0068,Mark,nperry@example.com,Bronze,66,HS,400.71
CUST0069,Perry,gateskathy@example.com,Silver,3811,HS,1214.44
CUST0070,Thomas,kenneth66@example.net,Gold,7489,HS,5851.81
CUST0071,Julie,tracynelson@example.com,Bronze,782,LS,416.17
CUST0072,Anthony,elizabeth62@example.com,Silver,1924,MS,4102.77
CUST0073,Samantha,meadowsbrittany@example.net,Bronze,453,LS,297.35
CUST0074,Anthony,dtaylor@example.org,Gold,7501,HS,10686.29
CUST0075,Brent,dmurphy@example.com,Silver,4031,HS,1396.93
CUST0076,Matthew,aramirez@example.com,Silver,2083,HS,3641.71
CUST0077,Mary,ismith@example.org,Bronze,565,HS,75.06
CUST0078,Zoe,jeffrey10@example.org,Bronze,705,MS,593.81
CUST0079,Stefanie,maryhowell@example.org,Bronze,295,LS,706.96
CUST0080,David,elliottjeffery@example.net,Gold,5583,MS,11873.85
CUST0081,Jonathan,gary91@example.org,Silver,3560,HS,3359.16
CUST0082,Tami,lanesarah@example.net,Bronze,557,HS,224.81
CUST0083,Erica,tsanders@example.org,Gold,6165,HS,5714.1
CUST0084,Charles,curtisbarton@example.net,Silver,3437,LS,3995.83
CUST0085,Caroline,hoganashlee@example.org,Gold,8597,LS,6243.54
CUST0086,Michael,estanley@example.net,Bronze,412,LS,942.68
CUST0087,Deborah,atkinsonlynn@example.org,Silver,2793,HS,1321.77
CUST0088,Ryan,cynthia72@example.com,Gold,7640,HS,11037.14
CUST0089,Gregory,christina87@example.com,Bronze,984,LS,674.3
CUST0090,Ryan,marcus31@example.com,Silver,1084,LS,4998.29
CUST0091,Nicole,karenhudson@example.net,Gold,9720,HS,5402.32
CUST0092,Nicholas,snydermark@example.com,Bronze,667,MS,442.23
CUST0093,Jason,matthew94@example.net,Bronze,599,MS,435.88
CUST0094,Alejandro,christophercortez@example.com,Gold,8850,MS,8479.61
CUST0095,Angela,hannahbrewer@example.com,Bronze,107,MS,857.73
CUST0096,Shane,davisjeffrey@example.net,Bronze,507,MS,288.22
CUST0097,John,thomas85@example.com,Gold,9506,HS,5366.97
CUST0098,Wendy,michael74@example.com,Bronze,331,MS,115.92
CUST0099,John,griffithleslie@example.net,Gold,5009,LS,11576.6
CUST0100,Amanda,jamesrodgers@example.com,Bronze,55,MS,187.58
